Thread ID: 6469600
Total: 27.325894
Sort by: self_time

 %self     total     self     wait    child    calls   name
  0.00      0.00     0.00     0.00     0.00        2   Rack::Request#params 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Utils::HeaderHash#merge 
  0.00      0.00     0.00     0.00     0.00       10   Fixnum#== 
  0.00      8.30     0.00     0.00     8.30        2   Sinatra::ShowExceptions#call 
  0.00      0.00     0.00     0.00     0.00        2   Regexp#match 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Response#finish 
  0.00      0.00     0.00     0.00     0.00        4   Rack::Request#media_type 
  0.00      0.00     0.00     0.00     0.00        4   Fixnum#to_s 
  0.00      8.30     0.00     0.00     8.30        4  *Rack::Protection::XSSHeader#call 
  0.00      0.00     0.00     0.00     0.00        2   Sinatra::Base#force_encoding 
  0.00      0.00     0.00     0.00     0.00        4   Array#first 
  0.00      0.00     0.00     0.00     0.00        1   Module#module_function 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Utils::HeaderHash#merge! 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Request#path_info 
  0.00      0.00     0.00     0.00     0.00        2   <Class::Sinatra::Base>#development? 
  0.00      0.00     0.00     0.00     0.00        8   <Class::BasicObject>#allocate 
  0.00      0.00     0.00     0.00     0.00        2   <Class::Rack::Utils::HeaderHash>#new 
  0.00      0.00     0.00     0.00     0.00        2   Hash#fetch 
  0.00      0.00     0.00     0.00     0.00        2   Enumerable#all? 
  0.00      0.00     0.00     0.00     0.00        2   Sinatra::Helpers#mime_type 
  0.00      0.00     0.00     0.00     0.00        4   Enumerable#any? 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Request#parseable_data? 
  0.00      0.00     0.00     0.00     0.00       10   Integer#to_i 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Utils::KeySpaceConstrainedParams#initialize 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Mime#mime_type 
  0.00      0.00     0.00     0.00     0.00        2   Sinatra::Base#indifferent_params 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Utils#bytesize 
  0.00      0.00     0.00     0.00     0.00        6   String#empty? 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Utils::HeaderHash#initialize 
  0.00      0.00     0.00     0.00     0.00        2   String#[] 
  0.00      0.00     0.00     0.00     0.00        8   String#=== 
  0.00      0.00     0.00     0.00     0.00        2   String#initialize_copy 
  0.00      0.00     0.00     0.00     0.00        2   <Class::String>#allocate 
  0.00      0.00     0.00     0.00     0.00        2   UnboundMethod#bind 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Protection::IPSpoofing#accepts? 
  0.00      0.00     0.00     0.00     0.00        4   Hash#include? 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Request#initialize 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Request#request_method 
  0.00      0.00     0.00     0.00     0.00        2   MatchData#captures 
  0.00      0.00     0.00     0.00     0.00        2   Enumerable#map 
  0.00      0.00     0.00     0.00     0.00        2   Sinatra::Base#indifferent_hash 
  0.00      0.00     0.00     0.00     0.00        2   Hash#empty? 
  0.00      0.00     0.00     0.00     0.00        2   Enumerable#inject 
